Vardas              Pavarde             ND1    Egz    
Bartas              Sakalauskas         6      6      
Valteris            Kavaliauskas        6      5      
Erikas              Pocius              2      2      
Ronaldas            Sakalauskas         2      2      
Aleksas             Jankauskas          8      3      
Miglius             zukauskas           9      7      
Karolis             Kavaliauskas        2      5      
Domantas            Kazlaukas           1      8      
Emilijus            Kavaliauskas        3      8      
Vladislavas         Urbonas             3      2      
Liudas              Stankevicius        10     3      
Neivydas            Petrauskas          3      6      
Tauras              Paulauskas          9      10     
Merunas             Baranauskas         4      5      
Kondratas           Baranauskas         7      2      
Dominykas           Baranauskas         6      4      
Benjaminas          Paulauskas          3      3      
